IE_XML_ID,IE_NAME,IE_ID,IE_ACTIVE,IE_ACTIVE_FROM,IE_ACTIVE_TO,IE_PREVIEW_PICTURE,IE_PREVIEW_TEXT,IE_PREVIEW_TEXT_TYPE,IE_DETAIL_PICTURE,IE_DETAIL_TEXT,IE_DETAIL_TEXT_TYPE,IE_CODE,IE_SORT,IE_TAGS,IP_PROP1083,IP_PROP1268,IP_PROP1084,IP_PROP1269,IP_PROP1270,IP_PROP1267,IP_PROP1085,IC_GROUP0,IC_GROUP1,IC_GROUP2
327858,Бланки,327858,Y,,,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,20000,A6 (105x148 мм),Бланки [320132],,,
327859,Бланки,327859,Y,,,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,20000,Евро (210x99 мм),Бланки [320132],,,
327860,Бланки,327860,Y,,,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,30000,A4 (210x297 мм),Бланки [320132],,,
327861,Бланки,327861,Y,,,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,30000,A5 (210x148 мм),Бланки [320132],,,
327862,Бланки,327862,Y,,,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,30000,A6 (105x148 мм),Бланки [320132],,,
327863,Бланки,327863,Y,,,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,30000,Евро (210x99 мм),Бланки [320132],,,
327864,Бланки,327864,Y,,,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,40000,A4 (210x297 мм),Бланки [320132],,,
327865,Бланки,327865,Y,,,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,40000,A5 (210x148 мм),Бланки [320132],,,
327866,Бланки,327866,Y,,,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,40000,A6 (105x148 мм),Бланки [320132],,,
327867,Бланки,327867,Y,,,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,40000,Евро (210x99 мм),Бланки [320132],,,
327868,Бланки,327868,Y,,,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,50000,A4 (210x297 мм),Бланки [320132],,,
327869,Бланки,327869,Y,,,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,50000,A5 (210x148 мм),Бланки [320132],,,
327870,Бланки,327870,Y,,,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,50000,A6 (105x148 мм),Бланки [320132],,,
327871,Бланки,327871,Y,,,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,50000,Евро (210x99 мм),Бланки [320132],,,
327872,Бланки,327872,Y,,,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,100000,A4 (210x297 мм),Бланки [320132],,,
327873,Бланки,327873,Y,,,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,100000,A5 (210x148 мм),Бланки [320132],,,
327874,Бланки,327874,Y,,,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,100000,A6 (105x148 мм),Бланки [320132],,,
327875,Бланки,327875,Y,,,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,,500,,,4+0 (односторонняя),,офсет 80,100000,Евро (210x99 мм),Бланки [320132],,,
327876,Бланки,327876,Y,,,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,500,A4 (210x297 мм),Бланки [320132],,,
327877,Бланки,327877,Y,,,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,500,A5 (210x148 мм),Бланки [320132],,,
327878,Бланки,327878,Y,,,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,500,A6 (105x148 мм),Бланки [320132],,,
327879,Бланки,327879,Y,,,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,/upload/iblock/b2c/v09wch7eyqvdfaa5ujl0xp6x46v50iax.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,500,Евро (210x99 мм),Бланки [320132],,,
327880,Бланки,327880,Y,,,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,/upload/iblock/c7d/9emy8tp7bspza9aeuicd8zzi5w8fah79.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,1000,A4 (210x297 мм),Бланки [320132],,,
327881,Бланки,327881,Y,,,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,/upload/iblock/613/pl3m1g1sk2f7brn442b36snshm2wfj5y.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,1000,A5 (210x148 мм),Бланки [320132],,,
327882,Бланки,327882,Y,,,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,/upload/iblock/677/jrby2jpw3q6ayvmawt4aibs72iqe0555.jpg,,text,,500,,,4+4 (двусторонняя),,офсет 80,1000,A6 (105x148 мм),Бланки [320132],,,
